License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0001393,"New Al-Marif Overseas","Gias Uddin","License expired","29-May-2016",,"28-May-2019",,,
0007125,"The Meah International","Mohammad Belal Meah","License expired","28-Aug-2017",,"27-Oct-2020",,,
0011667,"Sadaka Travel International","Muhammad Abu Saleh Rahman","License expired","04-Jul-2017","04-Jul-2017","05-Jul-2020",,,
0009240,"Samabay Hajj Travels and Tours","Sofikul Islam Mojumdar","License expired","17-Nov-2016",,"16-Nov-2019",,,
0002879,"South Asian Overseas Network","MAHFUJ BIN SIRAJ","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000121,"Shaheen Travels and Tours","SHAHIN MANDAL","License expired","28-Jun-2016",,"27-Jun-2019",,,
0006321,"Rifat International Travel & Tours","Mohammad Jasim Uddin","License expired","07-Aug-2017","07-Aug-2017","06-Aug-2020",,,
0000183,"Sd Aviation","David Baroi","License expired","13-Jul-2017",,"12-Jul-2020",,,
0002898,"Sattar Travels & Tours","Advocate Mohammad Abdus Sattar","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0009246,"Soudi Travel & Hajj Kafela","Aljah Abul Bashar","License expired","27-Nov-2016",,"26-Nov-2019",,,
0000124,"Shah Tours and Travels","SHAH MOMINUL ISLAM CHOWDHURY","License expired","25-Jul-2016",,"24-Jul-2019",,,
0000125,"Shah Travels Aviation","SHAH PORAN","License expired","08-Aug-2016",,"07-Aug-2019",,,
0006394,"Raj Hajj Kafela Tours & Travels","Alhajj Munir Ahmod","License expired","23-Aug-2017","23-Aug-2017","22-Aug-2020",,,
0000127,"Sanila Travels Aviation","AHLAJ ABDUL MATIN KHAN","License expired","08-Sep-2016",,"07-Sep-2019",,,
0000128,"Sharothi Travels","MARUF MOMTAJ","License expired","08-Sep-2016",,"07-Sep-2019",,,
0000129,"Sea Land Tourism","MD KAMRUL ISLAM","License expired","21-Sep-2016",,"20-Sep-2019",,,
0002857,"Sam Air International","Abdul Motin","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0001469,"Safari Tours and Travels","Md. Rajiul Hasan","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0009201,"New Friends Tourism & Travels","MD. Kamruddin","License expired","22-Jun-2016",,"21-Jun-2019",,,
0002872,"Sincere Trade & Tourism","Hajee Mazharul Hoque","License expired","01-Jan-2017",,"31-Dec-2019",,,
0009234,"Ruhul Amin Air Travels","MD. Ruhul Amin","License expired","03-Nov-2016",,"02-Nov-2019",,,
0000189,"Sainik  Tours and Travels","md. sumon rana","License expired","23-Aug-2017","23-Aug-2017","22-Aug-2020",,,
0000191,"Saimon Air Travels","Md. Kuddus Bepari","License expired","30-Aug-2018","30-Aug-2018","31-Dec-2019",,,
0000192,"Safe Fly Travels Limited","Md Hassan Imam Chowdhury","License expired","01-Jan-2017","01-Jan-2017","03-Sep-2019",,,
0000193,"Samihah Travels","Md. Siddique Ur Rahman","License expired","12-Sep-2017","12-Sep-2017","11-Sep-2020",,,
0000194,"South Bengal Travels and Tours","Mujammel Hossain Khan","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000131,"Solid Overseas","NURUZZAMAN MILON","License expired","16-Oct-2016",,"15-Oct-2019",,,
0000132,"S S Travels","Tapos Kumar Mondol","License expired","19-Oct-2016","01-Jan-1970","18-Oct-2019",,,
0000133,"Sky Line Tours &Travels","ENGINEER SHAJAHAN BHUYAN","License expired","25-Oct-2016",,"24-Oct-2019",,,
0000135,"Safa Air International","MD ABUL BASHAR","License expired","02-Nov-2016","01-Jan-1970","01-Nov-2019",,,
0000137,"S D Tours and Travels","KHONDOKER ABDUL HAMID DABLU","License expired","07-Nov-2016",,"06-Nov-2019",,,
0000138,"Sun Aviation Service ","MOHAMMAD MONIRUZZAMAN","License expired","13-Nov-2016",,"12-Nov-2019",,,
0000139,"Spice Travels Ltd","MD MASUDUR RAHMAN","License expired","29-Nov-2016",,"28-Nov-2019",,,
0002593,"M/S Moktar International","Md. Abu Saeed","License expired","01-Jan-2017",,"31-Dec-2019",,,
0000141,"Summit Travels and Tours","S M BARRANI","License expired","08-Dec-2016",,"07-Dec-2019",,,
0001261,"Sarkar Travels","Sukumar Sarkar","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0008312,"Maria Air International","Moinuddin","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000149,"Success Travels and Tours","SHEK SAIDUR RAHMAN","License expired","08-Feb-2017",,"07-Feb-2020",,,
0000150,"S S Globel Network","MOHAMMAD SELIM","License expired","08-Feb-2017",,"07-Feb-2020",,,
0002910,"Super Holidays Travels and Tours  Ltd","K M Anwarul Azim","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0001323,"Shodesh Air Travel International","Md. Arifur Rahman","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000153,"Smatrev Tours and Travels","RAKIBUL KARIM KHAN","License expired","12-Feb-2017",,"11-Feb-2020",,,
0009727,"Minar Air Travels","Mohammad Anowar Hossain","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0009235,"Samiha Air International","Md Mahmudul Hasan","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0008037,"Madani Aviation","Mohammad Majibur Rahman","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0002823,"Serene Tours and Travels","Rakhi K jaman","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0002966,"Senator Air Travels","Md.safiqul Islam","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0002896,"Supar Khidma Travels and Tours","Md. Saiful Islam","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000714,"Ababil Oversis Limited","Mrs. Tamanna Rahman","License expired","01-Jan-2017","01-Jan-1970","31-Dec-2019",,,
0000710,"Amira Travels and Tours","Md. Iqbal Hossain","License expired","01-Jan-2017","01-Jan-1970","31-Dec-2019",,,
0000724,"Ana Travels and Tours","MOA MD ANISUR RAHMAN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000775,"Arigona Tours and Travels","FARZANA NASRIN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000715,"A.J. Air International","M.A. Ahmed","License expired","01-Jan-2017","01-Jan-2017","30-Dec-2019",,,
0003929,"NAC Aero Services","Nurul Anwar Chowdhory","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000789,"Atlantic Aviation and Tourism","MOHAMMAD RAFIQ","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
