License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0013525,"Nure Modina Hajj & Travels","Md. Shahidul Islam","License expired","29-May-2022",,"28-May-2025","Rajshahi","BOGRA","ADAMDIGHI"
0013576,"Santu Air International","Md. Safikul Islam (Santu)","License expired","20-Jun-2022",,"19-Jun-2025","Rajshahi","BOGRA","SHIBGANJ"
0013268,"Mastura Travels","Hasan","License expired","02-Jan-2022",,"01-Jan-2025","Chittagong","BRAHMANBARIA","NABINAGAR"
0013281,"Ghuraghuri Air Travel","Md. Abdul Kader","License expired","09-Jan-2022",,"08-Jan-2025","Chittagong","CHANDPUR","KACHUA"
0013595,"Bab E  Madina Hajj Travels","Omar Faruk","License expired","29-Jun-2022",,"28-Jun-2025","Chittagong","CHANDPUR","KACHUA"
0001370,"The Ezee Go (Travel Agent)","Ikram Hossain","License expired","03-Sep-2016","09-Mar-2019","08-Mar-2022","Chittagong","CHITTAGONG","ANOWARA"
0009244,"The Chattala Hajj Kafela & Travels","MD. Faridul Islam","License expired","22-Nov-2016","22-Nov-2019","21-Nov-2022","Chittagong","CHITTAGONG","ANOWARA"
0007175,"N Two S Travels Ltd","Shahariar Tipu Sultan","License expired","31-Jan-2018","31-Jan-2018","30-Jan-2021","Chittagong","CHITTAGONG","BAYEJID BOSTAMI"
0009226,"Syed Awlia Air Travels","Jahida Akhter","License expired","20-Oct-2016","20-Oct-2022","19-Oct-2025","Chittagong","CHITTAGONG","BAKALIA"
0001311,"Rafiq Tours & Hajj Group","Monirul Islam Rofiq","License expired","15-Jun-2018","15-Jun-2018","14-Jun-2021","Chittagong","CHITTAGONG","CHANDGAON"
0001905,"Tulip Travels","Mohammed Ashique Yousuf Chowdhury","License expired","19-Apr-2018","19-Apr-2018","18-Apr-2021","Chittagong","CHITTAGONG","CHANDGAON"
0001906,"NEPTUNE TRAVEL INTERNATIONAL","Mamunur Rashid","License expired","19-Apr-2018","19-Apr-2021","18-Apr-2024","Chittagong","CHITTAGONG","CHANDGAON"
0013667,"ALIF MEEM INTERNATIONAL","MUINUL ISLAM CHOWDHURY MOHIM","License expired","11-Aug-2022",,"10-Aug-2025","Chittagong","CHITTAGONG","CHANDGAON"
0013807,"AL HIDAAYAH HAJJ KAFELA TOURS AND TRAVELS","MOHAMMED ABSAR UDDIN ROBEL","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","CHANDGAON"
0006529,"Easy Travels Twenty Four","MD JABED HOSSAIN","License expired","01-Aug-2017","31-Jul-2020","01-Aug-2023","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0004910,"Al-Haji Travels & Tours Limited","S M Jahangir Alam","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0004945,"Brown Air BD","Nuruddin Md.Ismail","License expired","04-Nov-2015","04-Nov-2018","03-Nov-2021","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0013319,"Shah Abrar Hajj Kafela & Travels","Md. Ziaul Hoque","License expired","26-Jan-2022",,"25-Jan-2025","Chittagong","CHITTAGONG","CHITTAGONG PORT"
0006253,"Wings Classic Tours & Travels Limited","Mahbub-Ul-Anam Chowdhury","License expired","08-Dec-2014","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001371,"The Amar Ticket (Travel Agent)","M. A. Kaiyum","License expired","09-Mar-2016","09-Mar-2019","08-Mar-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006210,"Wings Tours & Travels Ltd","Mizanur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001301,"Smart Tours & Travels","Md. Ruhul Huda Maruf","License expired","21-May-2018","21-May-2018","20-May-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0005194,"Expo Tours & Travel","Md. Ibrahim Khalil ","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0004907,"Al Nababi Hajj Kafela Travels & Tours","S. M. Syedul Karim Shahid","License expired","02-Jun-2015","02-Jun-2018","01-Jun-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0004724,"Khaja Ajmiri Travels","Sheikh Younusur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","DOUBLE MOORING"
0001903,"Time Tours & Travels","A K M Shamsuzzaman","License expired","19-Apr-2018","19-Apr-2018","18-Apr-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0007180,"Travel Eye","Mohammad Khalil Ullah","License expired","08-Feb-2018","08-Feb-2018","07-Feb-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006565,"M.M. Travels And  Tours","Mohammad Abu Sahid","License expired","29-Mar-2018","29-Mar-2018","28-Mar-2021","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013634,"Picnic.com","Partha Roy","License expired","21-Jul-2022",,"20-Jul-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013308,"VMAX TRAVELS","MOHAMMED JAHEDUL ALAM","License expired","20-Jan-2022",,"19-Jan-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013333,"MUNNA INTERNATIONAL TRAVELS","MOHAMMAD JAHED HOSSEN","License expired","02-Feb-2022",,"01-Feb-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013701,"OMAN TRAVELS","SAIFUL ISLAM","License expired","05-Sep-2022",,"04-Sep-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013781,"SHADIN BANGLA TRAVELS","SADDAM HOSSAIN","License expired","06-Oct-2022",,"05-Oct-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0013809,"A AND R TRAVELS AND TOURS","MOHAMMED JAVED ALI","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","DOUBLE MOORING"
0006266,"Noor Medina Travels And Tours","Mohammad Jashim Uddin ","License expired","14-May-2018","14-May-2018","13-May-2021","Chittagong","CHITTAGONG","FATIKCHHARI"
0013502,"A K INTERNATIONAL TOURIST AND TRAVELS","MOHAMMED ABUL KALAM ","License expired","12-May-2022",,"11-May-2025","Chittagong","CHITTAGONG","FATIKCHHARI"
0001336,"S a Travels","Md. Azad Mia","License expired","20-Sep-2015","20-Sep-2018","19-Sep-2021","Chittagong","CHITTAGONG","HALISHAHAR"
0013773,"AYAR OVERSEAS","SYED IMAM HOSSAIN","License expired","02-Oct-2022",,"01-Oct-2025","Chittagong","CHITTAGONG","HALISHAHAR"
0004893,"Hathazari Travel & Tours","Mohammad Alauddin","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","HATHAZARI"
0001332,"Rex International","Mohammad Ali","License expired","04-Apr-2018","04-Apr-2018","05-Apr-2021","Chittagong","CHITTAGONG","KOTWALI"
0004847,"Abc Air Limited","Barnard Lee","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","KOTWALI"
0004995,"Bismillah Trading Tours and Travel","Jahad Dobas","License expired","05-Dec-2016","05-Dec-2019","04-Dec-2022","Chittagong","CHITTAGONG","KOTWALI"
0004861,"Amin Air Travels & Tours","Mohammad Aminur Rasul","License expired","12-Apr-2018","01-Jan-2016","11-Apr-2021","Chittagong","CHITTAGONG","KOTWALI"
0006303,"Namira Travels & Tours","Juleka Begum Rukshana","License expired","12-Sep-2017","01-Sep-2022","31-Aug-2025","Chittagong","CHITTAGONG","KOTWALI"
0012150,"M I Enterprise","Mohammed Imran","License expired","14-Aug-2018","14-Aug-2021","13-Aug-2024","Chittagong","CHITTAGONG","KOTWALI"
0012289,"Al Khidmah International","Md. Sayed","License expired","12-Nov-2018","12-Nov-2021","11-Nov-2024","Chittagong","CHITTAGONG","KOTWALI"
0007164,"Silkline Tours and Travel","Mohammed Sajjad Hossain","License expired","14-Dec-2017","14-Dec-2020","13-Dec-2023","Chittagong","CHITTAGONG","KOTWALI"
0007145,"Rubai Nur Travel & Hajj Khafela","Mahbubuur Rahman","License expired","13-Nov-2017","13-Nov-2020","12-Nov-2023","Chittagong","CHITTAGONG","KOTWALI"
0007139,"National Travel Bureu","Mohammad Jahidur Rahman Chowdhury","License expired","31-Oct-2017","01-Jan-2021","31-Dec-2023","Chittagong","CHITTAGONG","KOTWALI"
0006535,"Golden Hajj Kafela Travels And Tours","Md. Eliyas Shorif","License expired","21-Aug-2017","21-Aug-2020","20-Aug-2023","Chittagong","CHITTAGONG","KOTWALI"
0013615,"yellow bird tours and travels","PARAMANU BHATTACHARYA","License expired","07-Jul-2022",,"06-Jul-2025","Chittagong","CHITTAGONG","KOTWALI"
0013108,"B.M.S Travels & Tourism","SAJU KANTI DAS","License expired","10-Aug-2021",,"09-Aug-2024","Chittagong","CHITTAGONG","KOTWALI"
0013101,"Shane Sultanpuri Haj Kafela","A.M.S. Hujjatul Moballig Sultanpuri ","License expired","09-Aug-2021",,"08-Aug-2024","Chittagong","CHITTAGONG","KOTWALI"
0013780,"AL ARABIA TOURS & TRAVELS","MOHAMMED YOUNUS","License expired","06-Oct-2022",,"05-Oct-2025","Chittagong","CHITTAGONG","KOTWALI"
0013810,"EVAN INTERNATIONAL","SYED MOHAMMAD IMRAN","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","KOTWALI"
0013658,"M P HAJJ KAFELA OMRAH TRAVELS AND TOURS","MOHD NURUL ALAM RAHIM","License expired","08-Aug-2022",,"07-Aug-2025","Chittagong","CHITTAGONG","KOTWALI"
0009224,"Rup Travels","Dalim Barua","License expired","16-Oct-2016","16-Oct-2022","15-Oct-2025","Chittagong","CHITTAGONG","KHULSHI"
0006238,"Nexus Tours & Travels","Md. Masud Hossain","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","KHULSHI"
0006372,"Pioneer Tours And Travels","Syed Mohammad Didarul Alam","License expired","31-Jan-2018","31-Jan-2018","31-Dec-2021","Chittagong","CHITTAGONG","KHULSHI"
0013307,"SKY TIME TRAVEL","MISBAH BANU","License expired","20-Jan-2022",,"19-Jan-2025","Chittagong","CHITTAGONG","KHULSHI"
0009230,"The Bhuiyan Travels & Tours","Zahidul Alam Bhuiyan","License expired","26-Oct-2019","26-Oct-2022","25-Oct-2025","Chittagong","CHITTAGONG","MIRSHARAI"
0001303,"Traveliam Tours & Travels","Mohammad Mahbubur Rahman","License expired","21-May-2015","21-May-2018","20-May-2021","Chittagong","CHITTAGONG","PAHARTALI"
0001390,"Shahjalal International Travels and Tours","Mohammed Towaha","License expired","28-Apr-2016","28-Apr-2016","27-Apr-2019","Chittagong","CHITTAGONG","PANCHLAISH"
0004963,"Bangladesh Travels & Hajj Kafela","Mohammad Murshedul Hoque","License expired","20-Mar-2016","20-Mar-2022","19-Mar-2025","Chittagong","CHITTAGONG","PANCHLAISH"
0006530,"Chowdhury Air International.","Ambia Begum Chowdhury","License expired","01-Aug-2017","01-Aug-2020","31-Jul-2023","Chittagong","CHITTAGONG","PANCHLAISH"
0004709,"Mamun Travels Limited","Mamunur Rashid","License expired","13-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","CHITTAGONG","PANCHLAISH"
0004807,"Eled Aviation Bangladesh Ltd.","Mahbub ul Anam","License expired","18-Feb-2018","18-Feb-2018","09-Feb-2021","Chittagong","CHITTAGONG","PANCHLAISH"
0007174,"Noor Mohal Tours & Travels","Md. Jahedul Islam","License expired","31-Jan-2018","31-Jan-2018","30-Jan-2021","Chittagong","CHITTAGONG","PANCHLAISH"
0013106,"KING TRAVELS AND TOURS","MD KAWSAR ALAM","License expired","10-Aug-2021",,"09-Aug-2024","Chittagong","CHITTAGONG","PANCHLAISH"
0013111,"SHAH SIMNAN HAJJ KAFELA  TOURS &  TRAVELS","ABU AHMAD JAMEUL AKTHER CHOWDHURY","License expired","16-Aug-2021",,"15-Aug-2024","Chittagong","CHITTAGONG","PANCHLAISH"
0013757,"HOSSAINIYA TOURS & TRAVELS","MD. SHEKANDER","License expired","26-Sep-2022",,"25-Sep-2025","Chittagong","CHITTAGONG","PANCHLAISH"
0013777,"SHAH AHMADIA TRAVELS AGENCY","SYED MOHAMMED ABU MOHSEN MONIRI","License expired","06-Oct-2022",,"05-Oct-2025","Chittagong","CHITTAGONG","PANCHLAISH"
0013808,"TREFLE TOURS AND TRAVELS","GAUHAR SIRAJ JAMIL","License expired","16-Oct-2022",,"15-Oct-2025","Chittagong","CHITTAGONG","PANCHLAISH"
0013104,"M. K. TRAVELS","Mohammad Kamal Uddin","License expired","10-Aug-2021",,"09-Aug-2024","Chittagong","CHITTAGONG","RAOZAN"
0001911,"Rakin Enterprise","Monir Ahamed","License expired","27-May-2018","27-May-2018","26-May-2021","Chittagong","CHITTAGONG","SATKANIA"
0006255,"Nowshad Travel & Tours","Hayatun Nobi Mazumder","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","COMILLA","COMILLA SADAR DAKSHIN"
0006548,"COMILLA TOURS AND TRAVELS","Mohammad Kabir Hossain","License expired","06-Dec-2017","06-Dec-2020","05-Dec-2023","Chittagong","COMILLA","COMILLA SADAR DAKSHIN"
0013736,"Safe Air International Travels & Tours","Md. Alak Hossain Gazi","License expired","21-Sep-2022",,"20-Sep-2025","Chittagong","COMILLA","COMILLA SADAR DAKSHIN"
0006203,"Real Tours & Travels","MD. Kabir Hossain","License expired","05-May-2017","05-May-2020","04-May-2023","Chittagong","COMILLA","DEBIDWAR"
0012224,"GULF HOLIDAY TRAVELS AND TOUR","MD AFTABUL ISLAM","License expired","10-Oct-2018","10-Oct-2021","09-Oct-2024","Chittagong","COMILLA","COMILLA ADARSHA SADAR"
0013828,"S Moazzem Air Travels","Md. Shah Moazzem","License expired","18-Oct-2022",,"17-Oct-2025","Chittagong","COMILLA","COMILLA ADARSHA SADAR"
0009268,"Nasir Tours and Travels","Mokki Nasir Uddin","License expired","16-Feb-2017","16-Feb-2020","15-Feb-2023","Chittagong","COX\'S BAZAR","CHAKARIA"
0001338,"New Cox\'s Bazar Tours & Travels","Parvin Sultana","License expired","22-Sep-2015","22-Sep-2018","21-Sep-2021","Chittagong","COX\'S BAZAR","COX\'S BAZAR SADAR"
0006373,"Sabur Enterprises","Abdur Sobur","License expired","27-Oct-2017","27-Oct-2017","01-Apr-2021","Chittagong","COX\'S BAZAR","COX\'S BAZAR SADAR"
0004980,"Biplob Air International Travels Agency","Narayon Sharma ","License expired","25-Sep-2016","26-Sep-2019","25-Sep-2022","Chittagong","COX\'S BAZAR","COX\'S BAZAR SADAR"
0007178,"Swift Travels & Event Arranger","Md. Jahed Hossen","License expired","08-Feb-2018","08-Feb-2018","07-Feb-2021","Chittagong","COX\'S BAZAR","COX\'S BAZAR SADAR"
0004971,"Al-Abrar Tours & Travels","AZIZUL HOQUE","License expired","04-Apr-2016","05-Apr-2019","04-Apr-2022","Chittagong","COX\'S BAZAR","MAHESHKHALI"
0001170,"Grameen Holidays","Md. Jahangir Alam Patwari","License expired","21-Aug-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","ADABOR"
0000212,"Classic Air Travels","SHEIKH JAMSHED ALI","License expired","27-Aug-2017","27-Aug-2020","26-Aug-2023","Dhaka","DHAKA","ADABOR"
0009112,"H.B.S Tours and Travels","Md. Abdul Hai Gong","License expired","10-May-2017","11-May-2020","10-May-2023","Dhaka","DHAKA","ADABOR"
0012310,"Nasaria Hajj Travels","Mohammad Nasaruddin","License expired","20-Nov-2018","20-Nov-2021","19-Nov-2024","Dhaka","DHAKA","ADABOR"
0000713,"Arabian Gulf Associates Co. Ltd","Jamal Uddin Ahammad","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0002589,"Mahad Travel Corporation","Md. Mynour Hassan Sikder","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0002023,"Harama Mokka Madina Tourism","Tajul Islam","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0003843,"Hazre Aswad Air International","Md Saifullah","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0000684,"Benjir Tours & Travels","Md. Zahid Hossain","License expired","27-Oct-2016","27-Oct-2022","26-Oct-2025","Dhaka","DHAKA","BADDA"
0012047,"PRG Tours & Travels","Ahsan Khan Chowdhury","License expired","15-May-2018","15-May-2021","14-May-2024","Dhaka","DHAKA","BADDA"
0004558,"Crystal Air Travels & Tours","AKM Nazrul Islam","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0002539,"Mahail Air Tours And Travels","Md Ashraf Ali Sardar","License expired","05-Jul-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BADDA"
0013076,"ASIAN CITY MAKAME ROKEYA TRAVELS AND TOURS LTD.","Md. Shakil Hossain","License expired","29-Jun-2021",,"28-Jun-2024","Dhaka","DHAKA","BADDA"
0013260,"Airtrek Holidays","Md. Gias Uddin","License expired","30-Dec-2021",,"29-Dec-2024","Dhaka","DHAKA","BADDA"
0013095,"Dhaka Travel Solutions","Popi Akter","License expired","26-Jul-2021",,"25-Jul-2024","Dhaka","DHAKA","BADDA"
0013216,"JCX Global Adventures","Md. Iqbal Hossain Chowdhury","License expired","30-Nov-2021",,"29-Nov-2024","Dhaka","DHAKA","BADDA"
0013207,"MS Flyway International","Shuhel Miah","License expired","16-Nov-2021",,"15-Nov-2024","Dhaka","DHAKA","BADDA"
0013293,"Migratory Travels International","Md. Jakir Hossain","License expired","13-Jan-2022",,"12-Jan-2025","Dhaka","DHAKA","BADDA"
0013242,"Bongo Tours & Travels","MD. ZIA UDDIN","License expired","21-Dec-2021",,"20-Dec-2024","Dhaka","DHAKA","BADDA"
0013478,"BANGLADESH INTERNATIONAL TOURS & TRAVELS","Tariqul Islam","License expired","24-Apr-2022",,"23-Apr-2025","Dhaka","DHAKA","BADDA"
0013541,"Ayan Tours & Travels.","Rahul Talukdar","License expired","05-Jun-2022",,"04-Jun-2025","Dhaka","DHAKA","BADDA"
0003646,"Jams Tours & Travels","Mr. Mokhlesur Rahman","License expired","05-Jul-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","BIMAN BANDAR"
0001845,"Skyscape Air Travels","Md Jahirul Haque","License expired","11-Mar-2018","11-Mar-2018","07-Mar-2021","Dhaka","DHAKA","BIMAN BANDAR"
0005828,"Musafir Air Trav","Md. Rezaul Karim","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019","Dhaka","DHAKA","CANTONMENT"
0008183,"Raian Hajj Overseas","MAWLANA MD MASHUK REZA","License expired","22-May-2016","22-May-2022","21-May-2025","Dhaka","DHAKA","CANTONMENT"
0013090,"Open Road Limited","Muhammed Selim","License expired","13-Jul-2021",,"12-Jul-2024","Dhaka","DHAKA","CANTONMENT"
0006769,"Arushan Travels","Md. Ashraful Islam Shamim","License expired","24-Jul-2016","24-Jul-2019","23-Jul-2022","Dhaka","DHAKA","DAKSHINKHAN"
0006707,"Ayat Tour & Travel Services","Tuhin Siddiqui Ome","License expired","27-Dec-2015","27-Dec-2018","26-Dec-2021","Dhaka","DHAKA","DAKSHINKHAN"
0006613,"Online Travel Services Ltd.","Md. Jalal Uddin","License expired","01-Jan-2017","18-Apr-2019","17-Apr-2022","Dhaka","DHAKA","DAKSHINKHAN"
0013161,"SHEIKH ARYAN TRAVEL & TOURS","MD. IRAN MIAH","License expired","07-Oct-2021",,"06-Oct-2024","Dhaka","DHAKA","DAKSHINKHAN"
0013202,"Hijrat Aviation","G M Omar Faruque Chowdhury","License expired","07-Nov-2021",,"06-Nov-2024","Dhaka","DHAKA","DAKSHINKHAN"
0013255,"SYED SKYPASS TRAVELS","SAYD ABU NAEIM","License expired","30-Dec-2021",,"29-Dec-2024","Dhaka","DHAKA","DAKSHINKHAN"
0013553,"Nazwa Enterprise Limited","Md.Nuruzzaman","License expired","08-Jun-2022",,"07-Jun-2025","Dhaka","DHAKA","DAKSHINKHAN"
0008417,"Mokbul Hajj Overseas Service","Md. Aminul Islam","License expired","27-Oct-2016","27-Oct-2022","26-Oct-2025","Dhaka","DHAKA","DEMRA"
0000066,"Safa Marwa Hajj Travels","Alhajj Md. Ali Hossain Khokan","License expired","18-Nov-2015","18-Nov-2018","17-Nov-2021","Dhaka","DHAKA","DEMRA"
0008415,"Maitree Travel & Tours","Dr. Sabina Aktar ","License expired","03-Oct-2016","03-Oct-2019","02-Oct-2022","Dhaka","DHAKA","DHANMONDI"
0000104,"Samadhan Air Travels Ltd","Md Eleas Hasan Khan","License expired","21-Mar-2016","21-Mar-2019","20-Mar-2022","Dhaka","DHAKA","DHANMONDI"
0002931,"Sundial Travels Ltd","SUMAIYA NUSRAT SARA CHOWDHURY","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","DHANMONDI"
0006787,"A One Tours & Travels","Md Alamgir Hossain","License expired","21-Mar-2017","21-Mar-2020","20-Mar-2023","Dhaka","DHAKA","DHANMONDI"
0006015,"Traveller International","Md.Kamal Hosen","License expired","01-Jan-2017","01-Jan-2019","31-Dec-2022","Dhaka","DHAKA","DHANMONDI"
0006040,"Travel On","Rashida Hosen","License expired","04-May-2018","04-May-2018","03-May-2021","Dhaka","DHAKA","DHANMONDI"
0007724,"Discover Bangladesh Tourism","Syed Mahamodul Hasan","License expired","29-Jan-2018","29-Jan-2018","28-Jan-2021","Dhaka","DHAKA","DHANMONDI"
0012130,"Global Travels","Shahana Khan","License expired","25-Jul-2018","25-Jul-2021","24-Jul-2024","Dhaka","DHAKA","DHANMONDI"
0012316,"Ease Logistics","M A Latif Shahrear Zahedee","License expired","27-Nov-2018","27-Nov-2021","26-Nov-2024","Dhaka","DHAKA","DHANMONDI"
0012434,"Millennium Travels Ltd.","Asif Raihan Chowdhury","License expired","16-Sep-2019","16-Sep-2022","15-Sep-2025","Dhaka","DHAKA","DHANMONDI"
0007707,"Dream Route Travel And Tours","Md. Yousuf Ali","License expired","26-Nov-2017","26-Nov-2020","25-Nov-2023","Dhaka","DHAKA","DHANMONDI"
0012962,"TRAVEL ZOO BANGLADESH LTD.","Muhammad Luthfe Ali","License expired","22-Feb-2021",,"21-Feb-2024","Dhaka","DHAKA","DHANMONDI"
0013261,"Anwar Travels & Tours Ltd.","Md. Ripon Ali Meraz","License expired","30-Dec-2021",,"29-Dec-2024","Dhaka","DHAKA","DHANMONDI"
0013203,"Blue Dream Tours & Travels Ltd.","Md. Ibrahim Shak","License expired","07-Nov-2021",,"06-Nov-2024","Dhaka","DHAKA","DHANMONDI"
0013713,"NOVO ALO TRAVELS","Muntasir Al Mamun","License expired","11-Sep-2022",,"10-Sep-2025","Dhaka","DHAKA","DHANMONDI"
0013321,"Khan Air Travels International","Md. Azizur Rahman","License expired","30-Jan-2022",,"29-Jan-2025","Dhaka","DHAKA","DHANMONDI"
0013510,"Echo Travel BD","Md. Nurun Nabi","License expired","23-May-2022",,"22-May-2025","Dhaka","DHAKA","DHANMONDI"
0013844,"SAFAR TOURS & TRAVELS LIMITED","Mahbubur Rahman","License expired","23-Oct-2022",,"22-Oct-2025","Dhaka","DHAKA","DHANMONDI"
0013331,"EASY TRIP LIMITED","MD Rakib","License expired","01-Feb-2022",,"31-Jan-2025","Dhaka","DHAKA","DHANMONDI"
0008395,"MAXIMUS BD TOURS & TRAVELS","SUMI ISLAM KHANDOKER","License expired","25-Apr-2016","25-Apr-2022","24-Apr-2025","Dhaka","DHAKA","GULSHAN"
0008056,"Lunar Aviation and Services Ltd","Fujia Alom","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0000264,"Ehsan Ikram Travels and Tours","JAHANGIR HOSSAIN PATWORY","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0001167,"Dewan Travels & Tours","Abdul Karim","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0000305,"Global Tourism","Abdur razzak","License expired","18-Aug-2016","18-Aug-2022","17-Aug-2025","Dhaka","DHAKA","GULSHAN"
0001069,"Zibran Tours and Travels","Aymon akbor","License expired","23-Nov-2017","23-Nov-2017","22-Nov-2021","Dhaka","DHAKA","GULSHAN"
0008185,"Red Sun Travels & Tours","MD ASADUL KABIR","License expired","02-Jun-2016","02-Jun-2019","01-Jun-2022","Dhaka","DHAKA","GULSHAN"
0002832,"Shining Star Aviation Services","Md. Sibbir Mahmud Osmani","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0008223,"YESCO Tours & Travels","Mohammad Saiful Islam","License expired","20-Mar-2017","20-Mar-2020","19-Mar-2023","Dhaka","DHAKA","GULSHAN"
0002829,"Simon Travel Trade Ltd","M . A., Muhiimin Saleh","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0001291,"Sabrina Travels and Tours","Md. Nazmul Hasan Chowdhury","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0000042,"Sa Elite Tours","Supriya Kumar Chakraborty","License expired","14-Jul-2015","14-Jul-2021","13-Jul-2024","Dhaka","DHAKA","GULSHAN"
0000852,"Ace Aviation Services Ltd.","Mr. Rezaur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0006037,"Travel Track Aviation Services","Md.Shihab Uddin","License expired","31-Mar-2018","31-Mar-2018","30-Mar-2021","Dhaka","DHAKA","GULSHAN"
0006606,"Orange Travel Makers","Md. Rejaul Karim","License expired","25-Feb-2016","25-Feb-2019","24-Feb-2022","Dhaka","DHAKA","GULSHAN"
0000619,"BSB Travels & Tours","Md. Khairul Bashar Bahar","License expired","18-Jun-2015","18-Jun-2021","17-Jun-2024","Dhaka","DHAKA","GULSHAN"
0005159,"Al-Amin Travel & Tourism","Md. Abu Akter","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0000688,"J F Internationl Ltd","J F Limited","License expired","09-Sep-2014","09-Sep-2014","31-Dec-2019","Dhaka","DHAKA","GULSHAN"
0012349,"Arham Aviation Limited","Muhammad Al Amin","License expired","20-Dec-2018","20-Dec-2021","19-Dec-2024","Dhaka","DHAKA","GULSHAN"
0021380,"ALFU ZUNAYED HAJJ TRAVELS","NOOR MOHAMMAD","License expired","06-Feb-2019","06-Feb-2022","05-Feb-2025","Dhaka","DHAKA","GULSHAN"
0012396,"HM Expo Private Limited","Hasan Rubel","License expired","26-Feb-2019","26-Feb-2022","25-Feb-2025","Dhaka","DHAKA","GULSHAN"
0012457,"Fair Fly","Hazi Sahar Uddin","License expired","06-Nov-2019","06-Nov-2022","05-Nov-2025","Dhaka","DHAKA","GULSHAN"
0001862,"Serim Business Solutions Limited","Mohammad Azizul Hoque","License expired","22-Feb-2018","22-Feb-2018","21-Feb-2021","Dhaka","DHAKA","GULSHAN"
0006147,"Travelers World","Mehedi Billah","License expired","17-Jul-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","GULSHAN"
0001847,"Smile Link Limited","Mostan Chir Billah","License expired","08-Mar-2018","08-Mar-2018","07-Mar-2021","Dhaka","DHAKA","GULSHAN"
0007064,"Aroma Air International","Mohammed Jashim Uddin","License expired","09-Apr-2018","09-Apr-2018","08-Apr-2021","Dhaka","DHAKA","GULSHAN"
